===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,EmaCross10And20,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
1,,1,2018-05-24 00:00:00,11.9,12.18,11.89,11.9,37337254.0,,EmaCross10And20,1,736838.0,Broker,1,100000.0,100000.0,BuySell,1,,,Trades - Net Profit/Loss,1,,
2,,2,2018-05-25 00:00:00,11.87,11.88,11.34,11.36,40931625.0,,EmaCross10And20,2,736839.0,Broker,2,100000.0,100000.0,BuySell,2,,,Trades - Net Profit/Loss,2,,
3,,3,2018-05-28 00:00:00,11.36,11.6,11.36,11.45,20733172.0,,EmaCross10And20,3,736842.0,Broker,3,100000.0,100000.0,BuySell,3,,,Trades - Net Profit/Loss,3,,
4,,4,2018-05-29 00:00:00,11.5,11.7,11.46,11.52,19576849.0,,EmaCross10And20,4,736843.0,Broker,4,100000.0,100000.0,BuySell,4,,,Trades - Net Profit/Loss,4,,
5,,5,2018-05-30 00:00:00,11.01,11.14,10.85,10.86,34590175.0,,EmaCross10And20,5,736844.0,Broker,5,100000.0,100000.0,BuySell,5,,,Trades - Net Profit/Loss,5,,
6,,6,2018-05-31 00:00:00,10.85,11.13,10.85,11.05,20811974.0,,EmaCross10And20,6,736845.0,Broker,6,100000.0,100000.0,BuySell,6,,,Trades - Net Profit/Loss,6,,
7,,7,2018-06-01 00:00:00,11.05,11.18,10.95,11.06,16104597.0,,EmaCross10And20,7,736846.0,Broker,7,100000.0,100000.0,BuySell,7,,,Trades - Net Profit/Loss,7,,
8,,8,2018-06-04 00:00:00,11.22,11.28,10.97,11.02,17274896.0,,EmaCross10And20,8,736849.0,Broker,8,100000.0,100000.0,BuySell,8,,,Trades - Net Profit/Loss,8,,
9,,9,2018-06-05 00:00:00,10.97,11.81,10.97,11.71,52970944.0,,EmaCross10And20,9,736850.0,Broker,9,100000.0,100000.0,BuySell,9,,,Trades - Net Profit/Loss,9,,
10,,10,2018-06-06 00:00:00,11.6,11.7,11.52,11.63,28913838.0,,EmaCross10And20,10,736851.0,Broker,10,100000.0,100000.0,BuySell,10,,,Trades - Net Profit/Loss,10,,
11,,11,2018-06-07 00:00:00,11.7,11.88,11.56,11.7,27913209.0,,EmaCross10And20,11,736852.0,Broker,11,100000.0,100000.0,BuySell,11,,,Trades - Net Profit/Loss,11,,
12,,12,2018-06-08 00:00:00,11.7,12.02,11.49,11.94,44148832.0,,EmaCross10And20,12,736853.0,Broker,12,100000.0,100000.0,BuySell,12,,,Trades - Net Profit/Loss,12,,
13,,13,2018-06-11 00:00:00,11.83,11.85,11.6,11.67,26980688.0,,EmaCross10And20,13,736856.0,Broker,13,100000.0,100000.0,BuySell,13,,,Trades - Net Profit/Loss,13,,
14,,14,2018-06-12 00:00:00,11.7,11.78,11.31,11.56,25223000.0,,EmaCross10And20,14,736857.0,Broker,14,100000.0,100000.0,BuySell,14,,,Trades - Net Profit/Loss,14,,
15,,15,2018-06-13 00:00:00,11.56,11.56,11.06,11.08,29492628.0,,EmaCross10And20,15,736858.0,Broker,15,100000.0,100000.0,BuySell,15,,,Trades - Net Profit/Loss,15,,
16,,16,2018-06-14 00:00:00,11.01,11.28,10.98,11.11,19820576.0,,EmaCross10And20,16,736859.0,Broker,16,100000.0,100000.0,BuySell,16,,,Trades - Net Profit/Loss,16,,
17,,17,2018-06-15 00:00:00,11.07,11.21,10.82,10.89,22949449.0,,EmaCross10And20,17,736860.0,Broker,17,100000.0,100000.0,BuySell,17,,,Trades - Net Profit/Loss,17,,
18,,18,2018-06-19 00:00:00,10.23,10.52,9.8,9.86,51907537.0,,EmaCross10And20,18,736864.0,Broker,18,100000.0,100000.0,BuySell,18,,,Trades - Net Profit/Loss,18,,
19,,19,2018-06-20 00:00:00,9.79,9.99,9.2,9.8,46788391.0,,EmaCross10And20,19,736865.0,Broker,19,100000.0,100000.0,BuySell,19,,,Trades - Net Profit/Loss,19,,
20,,20,2018-06-21 00:00:00,9.8,9.85,9.44,9.53,27400373.0,,EmaCross10And20,20,736866.0,Broker,20,100000.0,100000.0,BuySell,20,,,Trades - Net Profit/Loss,20,,
21,,21,2018-06-22 00:00:00,9.49,9.83,9.31,9.74,25447546.0,,EmaCross10And20,21,736867.0,Broker,21,100000.0,100000.0,BuySell,21,,,Trades - Net Profit/Loss,21,,
22,,22,2018-06-25 00:00:00,9.9,9.97,9.62,9.64,18201017.0,,EmaCross10And20,22,736870.0,Broker,22,100000.0,100000.0,BuySell,22,,,Trades - Net Profit/Loss,22,,
23,,23,2018-06-26 00:00:00,9.54,9.97,9.44,9.84,15964357.0,,EmaCross10And20,23,736871.0,Broker,23,100000.0,100000.0,BuySell,23,,,Trades - Net Profit/Loss,23,,
24,,24,2018-06-27 00:00:00,9.76,9.98,9.58,9.66,15708795.0,,EmaCross10And20,24,736872.0,Broker,24,100000.0,100000.0,BuySell,24,,,Trades - Net Profit/Loss,24,,
25,,25,2018-06-28 00:00:00,9.61,9.9,9.56,9.64,15559663.0,,EmaCross10And20,25,736873.0,Broker,25,100000.0,100000.0,BuySell,25,,,Trades - Net Profit/Loss,25,,
26,,26,2018-06-29 00:00:00,9.72,10.07,9.51,9.98,26201810.0,,EmaCross10And20,26,736874.0,Broker,26,100000.0,100000.0,BuySell,26,,,Trades - Net Profit/Loss,26,,
27,,27,2018-07-02 00:00:00,9.89,9.96,9.64,9.65,18479481.0,,EmaCross10And20,27,736877.0,Broker,27,100000.0,100000.0,BuySell,27,,,Trades - Net Profit/Loss,27,,
28,,28,2018-07-03 00:00:00,9.72,9.83,9.48,9.8,23224319.0,,EmaCross10And20,28,736878.0,Broker,28,100000.0,100000.0,BuySell,28,,,Trades - Net Profit/Loss,28,,
29,,29,2018-07-04 00:00:00,9.74,9.77,9.45,9.52,22906393.0,,EmaCross10And20,29,736879.0,Broker,29,100000.0,100000.0,BuySell,29,,,Trades - Net Profit/Loss,29,,
30,,30,2018-07-05 00:00:00,9.5,9.54,8.95,9.11,24223748.0,,EmaCross10And20,30,736880.0,Broker,30,100000.0,100000.0,BuySell,30,,,Trades - Net Profit/Loss,30,,
31,,31,2018-07-06 00:00:00,9.13,9.41,9.01,9.24,19949709.0,,EmaCross10And20,31,736881.0,Broker,31,100000.0,100000.0,BuySell,31,,,Trades - Net Profit/Loss,31,,
32,,32,2018-07-09 00:00:00,9.3,9.55,9.28,9.52,15087264.0,,EmaCross10And20,32,736884.0,Broker,32,100000.0,100000.0,BuySell,32,,,Trades - Net Profit/Loss,32,,
33,,33,2018-07-10 00:00:00,9.53,9.61,9.48,9.56,12257004.0,,EmaCross10And20,33,736885.0,Broker,33,100000.0,100000.0,BuySell,33,,,Trades - Net Profit/Loss,33,,
34,,34,2018-07-11 00:00:00,9.25,9.37,9.11,9.28,16643439.0,,EmaCross10And20,34,736886.0,Broker,34,100000.0,100000.0,BuySell,34,,,Trades - Net Profit/Loss,34,,
35,,35,2018-07-12 00:00:00,9.29,9.97,9.25,9.86,40125011.0,,EmaCross10And20,35,736887.0,Broker,35,100000.0,100000.0,BuySell,35,,,Trades - Net Profit/Loss,35,,
36,,36,2018-07-13 00:00:00,9.8,9.83,9.64,9.71,19389223.0,,EmaCross10And20,36,736888.0,Broker,36,100000.0,100000.0,BuySell,36,,,Trades - Net Profit/Loss,36,,
37,,37,2018-07-16 00:00:00,9.74,9.83,9.63,9.74,11791000.0,,EmaCross10And20,37,736891.0,Broker,37,100000.0,100000.0,BuySell,37,,,Trades - Net Profit/Loss,37,,
38,,38,2018-07-17 00:00:00,9.79,9.82,9.62,9.79,11231964.0,,EmaCross10And20,38,736892.0,Broker,38,100000.0,100000.0,BuySell,38,,,Trades - Net Profit/Loss,38,,
39,,39,2018-07-18 00:00:00,9.84,9.94,9.65,9.66,20232876.0,,EmaCross10And20,39,736893.0,Broker,39,100000.0,100000.0,BuySell,39,,,Trades - Net Profit/Loss,39,,
40,,40,2018-07-19 00:00:00,9.64,9.71,9.41,9.47,14930028.0,,EmaCross10And20,40,736894.0,Broker,40,100000.0,100000.0,BuySell,40,,,Trades - Net Profit/Loss,40,,
41,,41,2018-07-20 00:00:00,9.4,9.61,9.4,9.54,11110029.0,,EmaCross10And20,41,736895.0,Broker,41,100000.0,100000.0,BuySell,41,,,Trades - Net Profit/Loss,41,,
42,,42,2018-07-23 00:00:00,9.51,9.77,9.48,9.74,17148932.0,,EmaCross10And20,42,736898.0,Broker,42,100000.0,100000.0,BuySell,42,,,Trades - Net Profit/Loss,42,,
43,,43,2018-07-24 00:00:00,9.74,10.05,9.65,9.96,26836759.0,,EmaCross10And20,43,736899.0,Broker,43,100000.0,100000.0,BuySell,43,,,Trades - Net Profit/Loss,43,,
44,,44,2018-07-25 00:00:00,10.2,10.29,9.88,10.13,33780513.0,,EmaCross10And20,44,736900.0,Broker,44,100000.0,100000.0,BuySell,44,,,Trades - Net Profit/Loss,44,,
45,,45,2018-07-26 00:00:00,10.08,10.08,9.77,9.79,29811014.0,,EmaCross10And20,45,736901.0,Broker,45,100000.0,100000.0,BuySell,45,,,Trades - Net Profit/Loss,45,,
46,,46,2018-07-27 00:00:00,9.73,9.77,9.62,9.66,12980232.0,,EmaCross10And20,46,736902.0,Broker,46,100000.0,100000.0,BuySell,46,,,Trades - Net Profit/Loss,46,,
47,,47,2018-07-30 00:00:00,9.66,9.72,9.43,9.48,16007366.0,,EmaCross10And20,47,736905.0,Broker,47,100000.0,100000.0,BuySell,47,,,Trades - Net Profit/Loss,47,,
48,,48,2018-07-31 00:00:00,9.41,9.53,9.36,9.42,10370436.0,,EmaCross10And20,48,736906.0,Broker,48,100000.0,100000.0,BuySell,48,,,Trades - Net Profit/Loss,48,,
49,,49,2018-08-01 00:00:00,9.5,9.57,9.19,9.22,16361703.0,,EmaCross10And20,49,736907.0,Broker,49,100000.0,100000.0,BuySell,49,,,Trades - Net Profit/Loss,49,,
50,,50,2018-08-02 00:00:00,9.17,9.19,8.62,8.77,28167335.0,,EmaCross10And20,50,736908.0,Broker,50,100000.0,100000.0,BuySell,50,,,Trades - Net Profit/Loss,50,,
51,,51,2018-08-03 00:00:00,8.84,8.84,8.54,8.55,14397787.0,,EmaCross10And20,51,736909.0,Broker,51,100000.0,100000.0,BuySell,51,,,Trades - Net Profit/Loss,51,,
52,,52,2018-08-06 00:00:00,8.52,8.65,8.17,8.21,17877969.0,,EmaCross10And20,52,736912.0,Broker,52,100000.0,100000.0,BuySell,52,,,Trades - Net Profit/Loss,52,,
53,,53,2018-08-07 00:00:00,8.28,8.49,8.2,8.46,14779815.0,,EmaCross10And20,53,736913.0,Broker,53,100000.0,100000.0,BuySell,53,,,Trades - Net Profit/Loss,53,,
54,,54,2018-08-08 00:00:00,8.47,8.47,8.2,8.22,11832500.0,,EmaCross10And20,54,736914.0,Broker,54,100000.0,100000.0,BuySell,54,,,Trades - Net Profit/Loss,54,,
55,,55,2018-08-09 00:00:00,8.22,8.59,8.18,8.5,17243743.0,,EmaCross10And20,55,736915.0,Broker,55,100000.0,100000.0,BuySell,55,,,Trades - Net Profit/Loss,55,,
56,,56,2018-08-10 00:00:00,8.49,8.56,8.43,8.54,11361143.0,,EmaCross10And20,56,736916.0,Broker,56,100000.0,100000.0,BuySell,56,,,Trades - Net Profit/Loss,56,,
57,,57,2018-08-13 00:00:00,8.4,8.66,8.36,8.62,12782071.0,,EmaCross10And20,57,736919.0,Broker,57,100000.0,100000.0,BuySell,57,,,Trades - Net Profit/Loss,57,,
58,,58,2018-08-14 00:00:00,8.61,8.65,8.41,8.44,16170100.0,,EmaCross10And20,58,736920.0,Broker,58,100000.0,100000.0,BuySell,58,,,Trades - Net Profit/Loss,58,,
59,,59,2018-08-15 00:00:00,8.44,8.47,8.13,8.14,19916022.0,,EmaCross10And20,59,736921.0,Broker,59,100000.0,100000.0,BuySell,59,,,Trades - Net Profit/Loss,59,,
60,,60,2018-08-16 00:00:00,8.04,8.14,7.89,7.95,16821345.0,,EmaCross10And20,60,736922.0,Broker,60,100000.0,100000.0,BuySell,60,,,Trades - Net Profit/Loss,60,,
61,,61,2018-08-17 00:00:00,8.05,8.2,7.92,7.93,15229851.0,,EmaCross10And20,61,736923.0,Broker,61,100000.0,100000.0,BuySell,61,,,Trades - Net Profit/Loss,61,,
62,,62,2018-08-20 00:00:00,7.93,8.14,7.85,8.01,17236610.0,,EmaCross10And20,62,736926.0,Broker,62,100000.0,100000.0,BuySell,62,,,Trades - Net Profit/Loss,62,,
63,,63,2018-08-21 00:00:00,7.98,8.09,7.9,7.98,20433689.0,,EmaCross10And20,63,736927.0,Broker,63,100000.0,100000.0,BuySell,63,,,Trades - Net Profit/Loss,63,,
64,,64,2018-08-22 00:00:00,8.21,8.48,8.1,8.12,37517665.0,,EmaCross10And20,64,736928.0,Broker,64,100000.0,100000.0,BuySell,64,,,Trades - Net Profit/Loss,64,,
65,,65,2018-08-23 00:00:00,8.06,8.52,8.02,8.4,41809600.0,,EmaCross10And20,65,736929.0,Broker,65,100000.0,100000.0,BuySell,65,,,Trades - Net Profit/Loss,65,,
66,,66,2018-08-24 00:00:00,8.33,8.57,8.25,8.38,24505805.0,,EmaCross10And20,66,736930.0,Broker,66,100000.0,100000.0,BuySell,66,,,Trades - Net Profit/Loss,66,,
67,,67,2018-08-27 00:00:00,8.47,8.85,8.42,8.72,33582239.0,,EmaCross10And20,67,736933.0,Broker,67,100000.0,100000.0,BuySell,67,,,Trades - Net Profit/Loss,67,,
68,,68,2018-08-28 00:00:00,8.73,8.98,8.65,8.84,28622260.0,,EmaCross10And20,68,736934.0,Broker,68,100000.0,100000.0,BuySell,68,,,Trades - Net Profit/Loss,68,,
69,,69,2018-08-29 00:00:00,8.81,8.91,8.67,8.84,24491220.0,,EmaCross10And20,69,736935.0,Broker,69,100000.0,100000.0,BuySell,69,,,Trades - Net Profit/Loss,69,,
70,,70,2018-08-30 00:00:00,8.8,8.88,8.68,8.76,18065592.0,,EmaCross10And20,70,736936.0,Broker,70,100000.0,100000.0,BuySell,70,,,Trades - Net Profit/Loss,70,,
71,,71,2018-08-31 00:00:00,8.69,8.85,8.66,8.69,12841904.0,,EmaCross10And20,71,736937.0,Broker,71,100000.0,100000.0,BuySell,71,,,Trades - Net Profit/Loss,71,,
72,,72,2018-09-03 00:00:00,8.7,8.76,8.59,8.74,16173823.0,,EmaCross10And20,72,736940.0,Broker,72,100000.0,100000.0,BuySell,72,,,Trades - Net Profit/Loss,72,,
73,,73,2018-09-04 00:00:00,8.74,8.81,8.6,8.7,21565640.0,,EmaCross10And20,73,736941.0,Broker,73,100000.0,100000.0,BuySell,73,,,Trades - Net Profit/Loss,73,,
74,,74,2018-09-05 00:00:00,8.69,8.85,8.63,8.63,18564174.0,,EmaCross10And20,74,736942.0,Broker,74,100000.0,100000.0,BuySell,74,,,Trades - Net Profit/Loss,74,,
